Column,lat,lng,label_place_of_publication,20,city,country,language,dates_of_reprints,date,time,date 3,cartodb_id,translator_s,title,publisher,number_of_printings_and_or_editions,sales_figures_if_known,link_to_cover,link_to_sound_file_of_title,notes,source__w__worldcat__it__index_translationum,X_column,Column 23
,40.84731204,111.7439918,Hohhot,Hohhot,Hohhot,China,Chinese,0,2007,01/01/2007 00:00,,,Jiyong Li (李继勇) ,简爱 / Jianai / Jane Eyre,Neimenggu Renmin Press,,,,,,,,
44,45.80995902,126.5249512,Harbin,Harbin,Harbin,China,Chinese,0,2007,01/01/2007 00:00,,43,Linxiu Chen (陈林秀),简爱 / Jianai / Jane Eyre,Harbin Publishing House,1,NA,,,,,NA,
55,30.59357325,114.2951364,Wuhan,Wuhan,Wuhan,China,Chinese,0,2007,01/01/2007 00:00,,54,"Min Xia（夏旻）, Zijia Dian（奠自佳) and Chunhai Fan（范纯海）",简爱 / Jianai / Jane Eyre,Changjiang Wenyi press,1,NA,,,,,NA,
47,34.80772225,114.3001361,Kaifeng,Kaifeng,Kaifeng,China,Chinese,0,2007,01/01/2007 00:00,,46,Yao Xiao (肖遥),简爱 / Jianai / Jane Eyre,Henan Wenyi Press,1,NA,,,,,NA,
41,29.567427,106.587451,Chongqing,Chongqing,Chongqing,China,Chinese,0,2008,01/01/2008 00:00,,40,Houkai Wu (伍厚恺),简爱 / Jianai / Jane Eyre,Chongqing Press,1,NA,,,,,NA,
,39.04238878,121.6553762,Dalian,Dalian,Dalian,China,Chinese,0,2008,01/01/2008 00:00,,,Jing Zhang (张静) ,简爱 / Jianai / Jane Eyre,Dalian University of Technology Press,,,,,Later republished in Beijing (2009),,,
53,41.80712599,123.4291147,Shenyang,Shenyang,Shenyang,China,Chinese,0,2008,01/01/2008 00:00,,52,Kan Dai (戴侃),简爱 / Jianai / Jane Eyre,Liaoning jiaoyu press,1,NA,,,,,NA,
,34.28147544,108.9376333,Xi'an,Xi'an,Xi'an,China,Chinese,0,2008,01/01/2008 00:00,,,Qingong Du (杜勤功) ,简爱 / Jianai / Jane Eyre,Shaanxi Renmin Jiaoyu Press,,,,,,,,
38,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2008,01/01/2008 00:00,,38,Yue Fu (付悦),简爱 / Jianai / Jane Eyre,Nongcun Duwu Press ,1,NA,,,,,NA,
,43.86208405,125.305234,Changchun,Changchun,Changchun,China,Chinese,0,2009,01/01/2009 00:00,,,Dongmei Shi (史东梅),简爱 / Jianai / Jane Eyre,Beifang Funv Ertong Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2009,01/01/2009 00:00,,,Jing Zhang (张兢) and Su Liu (刘素),简爱 / Jianai / Jane Eyre,China International Radio Press,,,,,First Beijing edition of the translation originally published in Dalian in 2008,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2009,01/01/2009 00:00,,,Shengyao Zhan (詹圣耀）,简爱 / Jianai / Jane Eyre,Huayi Press,,,,,,,,
,43.83563597,126.5401512,Jilin,Jilin,Jilin,China,Chinese,0,2010,01/01/2010 00:00,,,Jiachun Zhou (周家春),简爱 / Jianai / Jane Eyre,Shidai Wenyi Press,,,,,,,,
35,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2010,01/01/2010 00:00,,35,Jianhua Shi (施建华),简爱 / Jianai / Jane Eyre,Zhongyang Bianyi Press,1,NA,,,,,NA,
,30.66010341,104.056107,Chengdu,Chengdu,Chengdu,China,Chinese,0,2010,01/01/2010 00:00,,,Li Ren (立人) (编译),简爱 / Jianai / Jane Eyre,Tiandi Press,,,,,,,,
,43.86208405,125.305234,Changchun,Changchun,Changchun,China,Chinese,0,2010,01/01/2010 00:00,,,Min Zhang (张敏),简爱 / Jianai / Jane Eyre,Jilin Wenshi Press,,,,,,,,
,31.82543469,117.2158025,Hefei,Hefei,Hefei,China,Chinese,0,2010,01/01/2010 00:00,,,Wenqi Li (李文绮),简爱 / Jianai / Jane Eyre,Anhui Jiaoyu Press,,,,,First Hefei edition of the translation originally published in Taipei,,,
,31.33997395,118.4023533,Wuhu,Wuhu,Wuhu,China,Chinese,0,2011,01/01/2011 00:00,,,Xingye Zhao（赵星冶）,简爱 / Jianai / Jane Eyre,Anhui Normal University Press,,,,,,,,
,43.83563597,126.5401512,Jilin,Jilin,Jilin,China,Chinese,0,2011,01/01/2011 00:00,,,Yi Tang (唐译）,简爱 / Jianai / Jane Eyre,Jilin Publishing Group,,,,,,,,
,40.84731204,111.7439918,Hohhot,Hohhot,Hohhot,China,Chinese,0,2011,01/01/2011 00:00,,,Yongqian Wu (吴永谦) (编),简爱 / Jianai / Jane Eyre,Yuanfang Press,,,,,,,,
,45.80995902,126.5249512,Harbin,Harbin,Harbin,China,Chinese,0,2012,01/01/2012 00:00,,,Chengbin Zhang (张承滨),简爱 / Jianai / Jane Eyre,Beifang Wenyi Publishing House,,,,,,,,
,22.31521826,114.1573982,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Chinese,0,2012,01/01/2012 00:00,,,Peifang Liu (刘珮芳) and Xiaowan Chen (陈筱宛),简爱 / Jianai / Jane Eyre,Haodoo Press,,,,,,,,
,28.18219957,113.0094381,Changsha,Changsha,Changsha,China,Chinese,0,2012,01/01/2012 00:00,,,Xiaoyan Feng (冯小晏),简爱 / Jianai / Jane Eyre,Changsha Wenyi Press,,,,,,,,
,32.07305852,118.7694646,Nanjing,Nanjing,Nanjing,China,Chinese,0,2012,01/01/2012 00:00,,,Yajing Ma (马亚静),简爱 / Jianai / Jane Eyre,Yilin Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2012,01/01/2012 00:00,,,Zhangxia Pu (蒲章霞) ,简爱 / Jianai / Jane Eyre,China Shuji Press,,,,,Illustrated,,,
,25.082902,121.546153,Taipei,Taipei,Taipei,Taiwan,Chinese,0,2012,01/01/2012 00:00,,,Zhiyun Si (斯志云),简爱 / Jianai / Jane Eyre,Licun Wenhua ,,,,,,,,
,43.83563597,126.5401512,Jilin,Jilin,Jilin,China,Chinese,0,2013,01/01/2013 00:00,,,Guangjian Wu (伍光建),简爱 / Jianai / Jane Eyre,Shidai Wenyi Press,,,,,First Jilin edition of the translation originally published in Shanghai in 1935,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2013,01/01/2013 00:00,,,Jianren Huang (黄健人),简爱 / Jianai / Jane Eyre,Foreign Language Teaching and Research Press,,,,,,,,
,31.11786557,121.5053555,Shanghai,Shanghai,Shanghai,China,Chinese,0,2013,01/01/2013 00:00,,,Mengmei Wang （王梦梅) ,简爱 / Jianai / Jane Eyre,Shanghai Wenyi Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2013,01/01/2013 00:00,,,"Xiufang Ye, Ying Zeng, Baohong Zhu (叶秀芳， 曾颖，朱葆红) (编著) ",简爱 / Jianai / Jane Eyre,China Kexue Puji Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2014,01/01/2014 00:00,,,Wenjie Liu (刘文杰),简爱 / Jianai / Jane Eyre,Beijing University of Technology Press,,,,,,,,
,23.36227155,116.7083952,Shantou,Shantou,Shantou,China,Chinese,0,2014,01/01/2014 00:00,,,Xun Gong (龚勋),简爱 / Jianai / Jane Eyre,Shantou University Press,,,,,,,,
,36.08803858,120.3730287,Qingdao,Qingdao,Qingdao,China,Chinese,0,2015,01/01/2015 00:00,,,Biqing Xie (谢碧卿) ,简爱 / Jianai / Jane Eyre,Qingdao Press,1,NA,,,Illustrated by Li Huang (黄丽) ,,NA,
,45.80995902,126.5249512,Harbin,Harbin,Harbin,China,Chinese,0,2015,01/01/2015 00:00,,,Guokui Zhang（张国奎),简爱 / Jianai / Jane Eyre,Harbin Publishing House,,,,,,,,
,43.81853074,87.6056561,Urumqi,Urumqi,Urumqi,China,Chinese,0,2015,01/01/2015 00:00,,,Jiayuan Fang (方家元) ,简爱 / Jianai / Jane Eyre,Xinjiang Meishu Sheying Press,,,,,,,,
,22.81673962,108.3114487,Nanning,Nanning,Nanning,China,Chinese,0,2015,01/01/2015 00:00,,,Wei Yang (杨伟) and Xiaoli Li (李晓丽）,简爱 / Jianai / Jane Eyre,Jieli Press,,,,,,,,
,34.28147544,108.9376333,Xi'an,Xi'an,Xi'an,China,Chinese,0,2016,01/01/2016 00:00,,,Feng Yu (枫雨),简爱 / Jianai / Jane Eyre,Sanqin Press,,,,,,,,
,22.81673962,108.3114487,Nanning,Nanning,Nanning,China,Chinese,0,2016,01/01/2016 00:00,,,Hongliang Tao (陶红亮）,简爱 / Jianai / Jane Eyre,Jiangsu Renmin Publishing House,,,,,,,,
,30.66010341,104.056107,Chengdu,Chengdu,Chengdu,China,Chinese,0,2016,01/01/2016 00:00,,,Jinghao Zhang (张经浩),简爱 / Jianai / Jane Eyre,Sichuan Shaonian Ertong Publishing House,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2016,01/01/2016 00:00,,,Qing Run (青闰),简爱 / Jianai / Jane Eyre,China Zhigong Press,,,,,,,,
,25.082902,121.546153,Taipei,Taipei,Taipei,Taiwan,Chinese,0,2016,01/01/2016 00:00,,,Xuanzhu Zhang (张玄竹),简爱 / Jianai / Jane Eyre,Taiwan Shangwu Press,,,,,,,,
,30.59357325,114.2951364,Wuhan,Wuhan,Wuhan,China,Chinese,0,2016,01/01/2016 00:00,,,Yi Zheng (郑毅),简爱 / Jianai / Jane Eyre,Changjiang Press,,,,,,,,
,28.6768756,115.8559272,Nanchang,Nanchang,Nanchang,China,Chinese,0,2016,01/01/2016 00:00,,,Yihong Liu (刘益宏),简爱 / Jianai / Jane Eyre,Jiangxi Meishu Publishing House,,,,,,,,
,45.80995902,126.5249512,Harbin,Harbin,Harbin,China,Chinese,0,2016,01/01/2016 00:00,,,Zhonglei Cui (崔钟雷),简爱 / Jianai / Jane Eyre,Heilongjiang Meishu Publishing House,,,,,,,,
,30.66010341,104.056107,Chengdu,Chengdu,Chengdu,China,Chinese,0,2017,01/01/2017 00:00,,,Di Fan (范蒂),简爱 / Jianai / Jane Eyre,Tiandi Press,,,,,,,,
,43.86208405,125.305234,Changchun,Changchun,Changchun,China,Chinese,0,2017,01/01/2017 00:00,,,Donghai Xie (谢东海),简爱 / Jianai / Jane Eyre,Jilin Wenshi Press,,,,,精解速读 ('reader to understand the essence quickly') ,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2017,01/01/2017 00:00,,,Fubo Tan (谭付波),简爱 / Jianai / Jane Eyre,China International Radio Press,,,,,精解速读 ('reader to understand the essence quickly') ,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2017,01/01/2017 00:00,,,Hongchang Cai (蔡红昌),简爱 / Jianai / Jane Eyre,Foreign Language Press,,,,,,,,
,45.80995902,126.5249512,Harbin,Harbin,Harbin,China,Chinese,0,2017,01/01/2017 00:00,,,Qian Lei (雷倩),简爱 / Jianai / Jane Eyre,Heilongjiang Meishu Publishing House,,,,,,,,
,45.80995902,126.5249512,Harbin,Harbin,Harbin,China,Chinese,0,2017,01/01/2017 00:00,,,Qingfeng Jiao (焦庆峰) ,简爱 / Jianai / Jane Eyre,Heilongjiang Meishu Publishing House,,,,,,,,
,32.07305852,118.7694646,Nanjing,Nanjing,Nanjing,China,Chinese,0,2017,01/01/2017 00:00,,,Rongyue Liu (刘荣跃),简爱 / Jianai / Jane Eyre,Jiangsu Wenyi Publishing House,,,,,,,,
,38.47027727,106.2494187,Yinchuan,Yinchuan,Yinchuan,China,Chinese,0,2017,01/01/2017 00:00,,,Shuqin Zhao (赵书琴),简爱 / Jianai / Jane Eyre,Ningxia Renmin Jiaoyu Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2017,01/01/2017 00:00,,,Tian Sang (桑田),简爱 / Jianai / Jane Eyre,Beijing University of Technology Press,,,,,足本解读 ('complete translation'),,,
,22.81673962,108.3114487,Nanning,Nanning,Nanning,China,Chinese,0,2017,01/01/2017 00:00,,,Tianfei Cao (曹天飞),简爱 / Jianai / Jane Eyre,Guangxi Normal University Press,,,,,,,,
,22.31521826,114.1573982,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Chinese,0,2017,01/01/2017 00:00,,,Xiangmei Wu (吴湘湄),简爱 / Jianai / Jane Eyre,Chenxing Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2017,01/01/2017 00:00,,,Yanbo Liu (刘彦波),简爱 / Jianai / Jane Eyre,Beijing University of Technology Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2018,01/01/2018 00:00,,,Committee of Translators (名家编译委员会),简爱 / Jianai / Jane Eyre,Beijing Ribao Press,,,,,,,,
,32.07305852,118.7694646,Nanjing,Nanjing,Nanjing,China,Chinese,0,2018,01/01/2018 00:00,,,Hongyan Lu (吕红艳),简爱 / Jianai / Jane Eyre,Jiangsu Fenghuang Wenyi Publishing House,,,,,,,,
,30.66010341,104.056107,Chengdu,Chengdu,Chengdu,China,Chinese,0,2018,01/01/2018 00:00,,,Shizhong Zhao (赵世忠）and Nan Wu (吴楠),简爱 / Jianai / Jane Eyre,Sichuan Minzu Press,,,,,,,,
,32.07305852,118.7694646,Nanjing,Nanjing,Nanjing,China,Chinese,0,2018,01/01/2018 00:00,,,Shuyang Zou(邹抒阳),简爱 / Jianai / Jane Eyre,Nanjing University Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2018,01/01/2018 00:00,,,Yu Li (李语),简爱 / Jianai / Jane Eyre,Unity Press,,,,,,,,
,39.29634888,117.355759,Tianjin,Tianjin,Tianjin,China,Chinese,0,2019,01/01/2019 00:00,,,Hongji Li (李继宏 ),简爱 / Jianai / Jane Eyre,Tianjin Renmin Press,,,,,,,,
,25.082902,121.546153,Taipei,Taipei,Taipei,Taiwan,Chinese,0,2019,01/01/2019 00:00,,,Junxie Wu (吴钧燮),简爱 / Jianai / Jane Eyre,Xinchaoshe Wenhua Shiye,,,,,First Taipei edition of the translation originally published in Beijing (1990),,,
,31.29944599,120.5742132,Suzhou,Suzhou,Suzhou,China,Chinese,0,2019,01/01/2019 00:00,,,Lei Wu (吴磊) (编著),简爱 / Jianai / Jane Eyre,Suzhou University Press,,,,,,,,
,56.46320176,-2.9757617,Dundee,Dundee,Dundee,Scotland,Cornish,0,2020,01/01/2020 00:00,,,Nicholas Williams,Jane Eyre,Evertype,1,,,,With illustrations by Edmund H. Garrett and E. M. Wimperis,Libris,,
59,45.81568289,15.98005881,Zagreb,Zagreb,Zagreb,Croatia,Croatian,"1975, 1976",1974,01/01/1974 00:00,,59,Giga Gračan & Andrijana Hewitt,Jane Eyre,Nakladni zavod MH,3,NA,https://www.dropbox.com/s/owurqin6e7i628p/1975%20Gra%C4%8Dan.JPG?dl=0,,Later republished in a modernized version (2008),IT,NA,
60,45.81568289,15.98005881,Zagreb,Zagreb,Zagreb,Croatia,Croatian,0,1974,01/01/1974 00:00,,60,Karlo Budor,Jane Eyre,Naprijed,1,NA,,,,COBISS,NA,
58,45.81568289,15.98005881,Zagreb,Zagreb,Zagreb,Croatia,Croatian,2012,2008,01/01/2008 00:00,,58,Giga Gračan,Jane Eyre,Naklada Ljevak,2,NA,https://www.dropbox.com/s/shsev79vdue9f2m/2008%20Gra%C4%8Dan.jpg?dl=0; https://www.dropbox.com/s/dem40aiorbir66t/2012%20Gra%C4%8Dan.jpg?dl=0,,"Modernized version of the 1974 translation by Giga Gračan and Andrijana Hewitt, introducing post-independence linguistic forms",IT,NA,
,50.10032566,14.41307963,Prague,Prague,Prague,Czech Republic,Czech,0,1875,01/01/1875 00:00,,,P. M. Chorušická,"Jane Eyre, sirotek Lowoodský / Jane Eyre, The Lowood Orphan",Libuše,1,,,,,,,
,50.10032566,14.41307963,Prague,Prague,Prague,Czech Republic,Czech,"1897?, c. 1910, 1929",1895,01/01/1895 00:00,,,V. K. ,Sirotek lovoodský (Johanna Eyrová) / Orphan of Lowood (Joanna Eyre),Alois Hynek,,,,,Date is 1895 or 1896. Source: Jay Dillon Rare Books + Manuscripts,,,
,50.10032566,14.41307963,Prague,Prague,Prague,Czech Republic,Czech,,1907,01/01/1907 00:00,,,Karel Funk,Sirotek lovoodský (Johanna Eyrová) / Orphan of Lowood (Joanna Eyre),B. Kočí,,,,,Probably abridged,,,
,50.10032566,14.41307963,Prague,Prague,Prague,Czech Republic,Czech,,1932,01/01/1932 00:00,,,Tereza Turnerová,Sirotek lowoodský ,Vojtěch Šeba,,,,,Pro dívky' ('for girls'); illustrated by A.L. Salač,,,
,50.10032566,14.41307963,Prague,Prague,Prague,Czech Republic,Czech,0,1938,01/01/1938 00:00,,,"Ročák, Josef",Sirotek lowoodský (Johanna Eyre) / Orphan of Lowood (Joanna Eyre),K. Hlouška,,,,,Abridged,,,
65,50.10032566,14.41307963,Prague,Prague,Prague,Czech Republic,Czech,"1957, 1991, 1994, 1998",1954,01/01/1991 00:00,,65,Jarmila Fastrová,Sirotek lowoodský / The Lowood Orphan,Mladá fronta,3,NA,https://www.dropbox.com/s/kv5qvenomqhuk8g/1991%20Fastrov%C3%A1.jpg?dl=0,,1991 edition is with Albatross; 1994 with Český spisovatel; 1998 with X-Egem. Republished in Frýdek-Místek (2007),,NA,
63,49.67709231,18.35304856,Frýdek-Místek,Frýdek-Místek,Frýdek-Místek,Czech Republic,Czech,0,2007,01/01/2007 00:00,,63,Jarmila Fastrová,Jana Eyrová,Alpress ,3,NA,https://www.dropbox.com/s/9q7bx3jurgpbs4b/2007%20Fastrov%C3%A1.jpg?dl=0,,First Frýdek-Místek edition of the translation originally published in Prague in 1954. ,IT,NA,
,50.10032566,14.41307963,Prague,Prague,Prague,Czech Republic,Czech,,2012,01/01/2012 00:00,,,Pavla a Matouš Iblovi,Jane Eyreová,Československý spisovatel,,,,,,,,
,50.10032566,14.41307963,Prague,Prague,Prague,Czech Republic,Czech,,2013,01/01/2013 00:00,,,Petr Polák,Jana Eyrová,Dobrovský,,,,,,,,
,49.99226908,14.66021265,	Říčany,	Říčany,	Říčany,Czech Republic,Czech,2020,2018,01/01/2018 00:00,,,Hana Jovanovičová,Jana Eyrová ,Sun,,,,,Translated from Sara Torrico's Spanish abridgement: 'Světová četba pro školáky' ('world reading for schoolchildren'),,,
,49.81766635,14.21384039,Voznice,Voznice,Voznice,Czech Republic,Czech,0,2018,01/01/2018 00:00,,,Miroslav Kaftan,Jana Eyrová,LEDA,,,,,,,,
,50.10032566,14.41307963,Prague,Prague,Prague,Czech Republic,Czech,,2019,01/01/2019 00:00,,,Petra Diestlerová,Jana Eyrová,CooBoo,,,,,,,,
,49.82494757,16.96390279,	Dubicko,	Dubicko,	Dubicko,Czech Republic,Czech,,2020,01/01/2020 00:00,,,Karolina Doláková,Jane Eyre,INFOA,,,,,Translated from Anna Claybourne's retelling,,,
,55.6833548,12.57685915,Copenhagen,Copenhagen,Copenhagen,Denmark,Danish,"1856-7, 1884",1850,01/01/1850 00:00,,,Unknown,En Guvernantes Memoirer / A Governess's Memoir,Morgenposten,3,NA,,,"Serialised from 1 February to 13 June. Source: Jay Dillon Rare Books + Manuscripts. Published by Jordans Forlag in volume form in the same year, as Jane Eyre, eller en Gouvernantes Memoirer / Jane Eyre, or a Governess's Memoir. Source: Erland Munch-Petersen, Bibliografi over oversættelser til dansk 1800-1900 af prosafiktion fra de germanske og romanske sprog, Rosenkilde og Bagger, 1976",http://bibliografi.dk/content.php?page=author&value=13323,,
,56.855474,8.715497,Erslev,Erslev,Erslev,Denmark,Danish,0,1884,01/01/1884 00:00,,,Unknown,"Jane Eyre, eller en Gouvernantes Memoirer / Jane Eyre, or a Governess's Memoir",,,NA,,,First Erslev edition of the translation originally published in 1850 in Copenhagen,WorldCat,,
73,55.43745107,11.5508609,Sorø,Sorø,Slagelse,Denmark,Danish,0,1894,01/01/1894 00:00,,74,Vilhelm Møller,Jane Eyre,Sorø Amtstidende ,1,NA,,,,http://bibliografi.dk/content.php?page=author&value=13323,NA,
,55.6833548,12.57685915,Copenhagen,Copenhagen,Copenhagen,Denmark,Danish,"1905, 1909, 1911, 1913, 1914, 1944",1897,01/01/1897 00:00,,,Sofie Horten,Et Vajsenhusbarn eller Jane Eyre. En Gouvernantes Memoirer / An Orphan or Jane Eyre. A Governess's Memoir,R. Stjernholm (Roman-Bazar) ,7,NA,,,The 1905 edition is with Vort Lands Feuilletori; 1909 is with Østjydsk Forlagsforretning and is titled Et Vaisenhusbarn: (Jane Eyre); 1911 is with Frederiksbergs Biblioteks Forlag and may be abridged (96pp); 1913 is with Romanforlaget; 1914 is with Danmark; 1944 is with Det Danske forlag,http://bibliografi.dk/content.php?page=author&value=13323,,
,55.6833548,12.57685915,Copenhagen,Copenhagen,Copenhagen,Denmark,Danish,0,1909,01/01/1909 00:00,,,Unknown,Jane Eyre,Chr. Flor,1,NA,,,,http://bibliografi.dk/content.php?page=author&value=13323,,
,55.6833548,12.57685915,Copenhagen,Copenhagen,Copenhagen,Denmark,Danish,0,1913,01/01/1913 00:00,,,Emma Sunde,Et Vajsenhusbarn / An Orphan,Forlaget Danmark,1,NA,,,,http://bibliografi.dk/content.php?page=author&value=13323,,
,55.6833548,12.57685915,Copenhagen,Copenhagen,Copenhagen,Denmark,Danish,"1963, 1965, 1971(i), 1971(ii), 1978, 1984, 1987, 2011",1957,01/01/1957 00:00,,,Aslaug Mikkelsen,Jane Eyre,Unknown,8,NA,,,"The 1963 edition is with Spectator; 1965 and 1978 are with Det Danske Forlag; 1971 is with Edito (Verdenslitteraturens Perler); a second 1971 edition is with Danske Forlag, Nyt Dansk; 1984 and 1987 are with Nyt Dansk Litteraturselskab  Litteraturselskab; 2011(i) with Lindhardt og Ringhof; 2011(ii) and 2012 with Bechs Forlag; 2015 with Rosenkilde",,,
69,55.6833548,12.57685915,Copenhagen,Copenhagen,Copenhagen,Denmark,Danish,"2016, 2017",2015,01/01/2015 00:00,,69,Christiane Rohde,Jane Eyre,Rosenkilde,2,NA,,,Later editions are with Lindhardt og Ringhof,http://bibliografi.dk/content.php?page=author&value=13323,NA,
74,56.34560023,10.38181652,Mørke,Mørke,Syddjurs,Denmark,Danish,0,2016,01/01/2016 00:00,,73,Luise Hemmer Pihl,Jane Eyre,Grevas,1,NA,,,,http://bibliografi.dk/content.php?page=author&value=13323,NA,
306,53.22204261,6.569455436,Groningen,Groningen,Groningen,Netherlands,Dutch,0,1849,01/01/1849 00:00,,306,Unknown,"Jane Eyre, of Het leven eener gouvernante / Jane Eyre or the Life of a Governess",C.M. Van Bolhuis Hoitsema,1,NA,,,Serial publication in 1849-50,WorldCat,NA,
302,52.25953399,6.165293348,Deventer,Deventer,Deventer,Netherlands,Dutch,0,1874,01/01/1874 00:00,,302,Unknown,"Jane Eyre, de wees van Lowood, of Het leven eener gouvernante / Jane Eyre, the Orphan of Lowood, or The Life of a Governess",Ter Gunne,1,NA,https://www.dropbox.com/s/0bmbvropjcw05s4/1874%20Unknown.png?dl=0,,,WorldCat,NA,
304,52.00989749,4.708823793,Gouda,Gouda,Gouda,Netherlands,Dutch,0,1885,01/01/1885 00:00,,304,Unknown,"Jane Eyre, of, De wees van Lowood: een verhaal / Jane Eyre, or, The orphan of Lowood: a Story",G.B. van Goor Zonen,1,NA,https://www.dropbox.com/s/0bmbvropjcw05s4/1874%20Unknown.png?dl=0,,,WorldCat,NA,
299,52.38159318,4.904555584,Amsterdam,Amsterdam,Amsterdam,Netherlands,Dutch,0,1914,01/01/1914 00:00,,299,J Kuylman and Leo Simons,Jane Eyre (de wees van Lowood) / Jane Eyre (the Orphan of Lowood),Amsterdam Mij voor Goede en Goedkoope Lectuur ,1,NA,,,,WorldCat,NA,
298,52.38159318,4.904555584,Amsterdam,Amsterdam,Amsterdam,Netherlands,Dutch,0,1935,01/01/1935 00:00,,298,Unknown,Jane Eyre of het leven eener gouvernante / Jane Eyre or the Life of a Governess,Hollandsch Uitgeversfonds,1,NA,,,Date is approximate,WorldCat,NA,
287,52.38159318,4.904555584,Amsterdam,Amsterdam,Amsterdam,Netherlands,Dutch,"1950, 1951, 1959, 1978, 1980",1948,01/01/1948 00:00,,287,Elisabeth de Roos and H J Scheepmaker ,Jane Eyre,Contact,6,NA,,,Illustrated by Karel Thole. 1978 and 1980 editions are with Veen,WorldCat,NA,
293,52.38159318,4.904555584,Amsterdam,Amsterdam,Amsterdam,Netherlands,Dutch,"1991, 1995, 2001, 2003, 2004, 2005, 2007, 2011 ",1965,01/01/1965 00:00,,293,M Foeken-Visser,Jane Eyre,L.J. Veen's Uitgeversmij N.V.,12,NA,,,"The 1991, 2004, and 2007 editions are with Veen; 1995, 2001, 2003, and 2005 are with Pandora. Republished in Wagenigen, Utrecht and Hilversum",WorldCat,NA,
20,51.21795293,4.39764863,Antwerp,Antwerp,Antwerp,Belgium,Dutch,0,1967,01/01/1967 00:00,,20,Elisabeth de Roos,Jane Eyre,Contact,6,NA,,,,WorldCat,NA,
307,52.3855893,4.642722743,Haarlem,Haarlem,Haarlem,Netherlands,Dutch,2008,1970,01/01/1970 00:00,,307,Clara Eggink,Jane Eyre,Spaarnestad,3,NA,,,Republished in Amsterdam (1978) and Hilversum (2008),WorldCat,NA,
315,51.96302907,5.656406834,Wageningen,Wageningen,Wageningen,Netherlands,Dutch,1974,1971,01/01/1971 00:00,,315,M Foeken-Visser,Jane Eyre,L.J. Veen's Uitgeversmij N.V.,12,NA,https://www.dropbox.com/s/nbom923qo9fonf6/1971%20Foeken-Visser.jpg?dl=0,,First Wagenigen edition of the translation originally published in Amsterdam in 1965,WorldCat,NA,
291,52.38159318,4.904555584,Amsterdam,Amsterdam,Amsterdam,Netherlands,Dutch,0,1978,01/01/1978 00:00,,291,Clara Eggink,Jane Eyre,Amsterdam boek,3,NA,,,First Amsterdam edition of the translation originally published in Haarlem in 1970,WorldCat,NA,
21,51.22702923,4.520149776,Wijnegem,Wijnegem,Antwerpen,Belgium,Dutch,0,1980,01/01/1980 00:00,,22,Heleen Kost,Jane Eyre: een autobiografie / Jane Eyre: an Autobiography,Spectrum,2,NA,,,"Later republished in Utrecht, Netherlands (1994)",IT,NA,
